Uniprot	GN	PN	Strain	Factor	median.k	mad.k
A3KG59	Pm20d2	Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2)	aj	iso	0.138867	0
A3KG59	Pm20d2	Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2)	balbc	ctrl	0.286328	0.1125708528
A3KG59	Pm20d2	Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2)	c57	ctrl	0.199048	0
A3KG59	Pm20d2	Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2)	c57	iso	0.209668	0.1932880446
A3KG59	Pm20d2	Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2)	cej	ctrl	0.2021	0.0579133212
A3KG59	Pm20d2	Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2)	cej	iso	0.124219	0
A3KG59	Pm20d2	Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2)	dba	ctrl	0.322949	0.076012902
A3KG59	Pm20d2	Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2)	dba	iso	0.137402	0
A3KG59	Pm20d2	Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2)	fvb	ctrl	0.2852295	0.0841560825
A3KG59	Pm20d2	Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2)	fvb	iso	0.114453	0
A3KGS3	Ralgapa2	Ral GTPase-activating protein subunit alpha-2 (250 kDa substrate of Akt) (AS250) (P220)	aj	ctrl	31.3	0
A3KGS3	Ralgapa2	Ral GTPase-activating protein subunit alpha-2 (250 kDa substrate of Akt) (AS250) (P220)	aj	iso	7.3	0
A3KMP2	Ttc38	Tetratricopeptide repeat protein 38 (TPR repeat protein 38)	aj	ctrl	0.112134	0.0175554666
A3KMP2	Ttc38	Tetratricopeptide repeat protein 38 (TPR repeat protein 38)	aj	iso	0.141034	0.0427567014
A3KMP2	Ttc38	Tetratricopeptide repeat protein 38 (TPR repeat protein 38)	balbc	ctrl	0.128125	0
A3KMP2	Ttc38	Tetratricopeptide repeat protein 38 (TPR repeat protein 38)	balbc	iso	0.229199	0
A3KMP2	Ttc38	Tetratricopeptide repeat protein 38 (TPR repeat protein 38)	c57	ctrl	0.121289	0.0564663036
A3KMP2	Ttc38	Tetratricopeptide repeat protein 38 (TPR repeat protein 38)	c57	iso	0.0844545	0.0052031847
A3KMP2	Ttc38	Tetratricopeptide repeat protein 38 (TPR repeat protein 38)	cej	ctrl	0.08186	0.00289551779999999
A3KMP2	Ttc38	Tetratricopeptide repeat protein 38 (TPR repeat protein 38)	cej	iso	0.098645	0.0111298782
A3KMP2	Ttc38	Tetratricopeptide repeat protein 38 (TPR repeat protein 38)	dba	iso	0.08894	0
A3KMP2	Ttc38	Tetratricopeptide repeat protein 38 (TPR repeat protein 38)	fvb	ctrl	0.082974	0.0058814742
A3KMP2	Ttc38	Tetratricopeptide repeat protein 38 (TPR repeat protein 38)	fvb	iso	0.09541	0.056828058
A6H584	Col6a5	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)	aj	iso	0.026318	0
A6H584	Col6a5	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)	c57	iso	0.021344	0
A6H584	Col6a5	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)	dba	ctrl	0.0909545	0.0501318951
A6H584	Col6a5	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)	dba	iso	0.05293	0.0156547734
A6H584	Col6a5	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)	fvb	iso	0.048413	0
A6H5Y3	Mtr	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Vitamin-B12 dependent methionine synthase) (MS)	balbc	ctrl	0.439648	0
A6H5Y3	Mtr	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Vitamin-B12 dependent methionine synthase) (MS)	balbc	iso	0.283398	0
A6H5Y3	Mtr	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Vitamin-B12 dependent methionine synthase) (MS)	fvb	ctrl	0.402539	0
A6H611	Mipep	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)	aj	ctrl	0.220654	0.1023446193
A6H611	Mipep	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)	aj	iso	0.2796145	0.0264228972
A6H611	Mipep	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)	balbc	ctrl	0.2814455	0.0709446339
A6H611	Mipep	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)	balbc	iso	0.2367675	0.0369204465
A6H611	Mipep	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)	c57	ctrl	0.23103	0.1179993927
A6H611	Mipep	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)	c57	iso	0.230664	0.083070078
A6H611	Mipep	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)	cej	ctrl	0.256299	0.1398996186
A6H611	Mipep	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)	cej	iso	0.231641	0.056828058
A6H611	Mipep	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)	dba	ctrl	0.2182125	0.0584574354
A6H611	Mipep	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)	dba	iso	0.223462	0.034566819
A6H611	Mipep	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)	fvb	iso	0.219189	0
A6H630	Armt1	Protein-glutamate O-methyltransferase (EC 2.1.1.-) (Acidic residue methyltransferase 1)	aj	iso	0.096143	0
A6H630	Armt1	Protein-glutamate O-methyltransferase (EC 2.1.1.-) (Acidic residue methyltransferase 1)	dba	ctrl	0.08302	0.0232560636
A6H630	Armt1	Protein-glutamate O-methyltransferase (EC 2.1.1.-) (Acidic residue methyltransferase 1)	dba	iso	0.073346	0.012261102
A6H6A9	Rabgap1l	Rab GTPase-activating protein 1-like	aj	ctrl	0.280469	0
A6H6A9	Rabgap1l	Rab GTPase-activating protein 1-like	aj	iso	0.321484	0
A6H6A9	Rabgap1l	Rab GTPase-activating protein 1-like	cej	iso	0.346875	0
A6H6E2	Mmrn2	Multimerin-2	aj	ctrl	0.511914	0
A6H6E2	Mmrn2	Multimerin-2	aj	iso	0.534375	0
A6H6E2	Mmrn2	Multimerin-2	balbc	ctrl	0.431836	0
A6H6E2	Mmrn2	Multimerin-2	c57	ctrl	0.817578	0
A6H6E2	Mmrn2	Multimerin-2	c57	iso	2.292188	0
A6H6E2	Mmrn2	Multimerin-2	cej	iso	0.462598	0.1701224196
A6H6E2	Mmrn2	Multimerin-2	dba	iso	0.6652345	0.0347484375
A6H8H2	Dennd4c	DENN domain-containing protein 4C	aj	ctrl	0.7375	0
A6H8H2	Dennd4c	DENN domain-containing protein 4C	aj	iso	0.395459	0.126324933
A6H8H2	Dennd4c	DENN domain-containing protein 4C	balbc	iso	0.279004	0
A6H8H2	Dennd4c	DENN domain-containing protein 4C	c57	iso	0.333203	0
A6H8H2	Dennd4c	DENN domain-containing protein 4C	dba	ctrl	7.3	0
A6H8H2	Dennd4c	DENN domain-containing protein 4C	dba	iso	0.245801	0
A6H8H2	Dennd4c	DENN domain-containing protein 4C	fvb	iso	0.187695	0
A6X935	Itih4	Inter alpha-trypsin inhibitor, heavy chain 4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4)	balbc	ctrl	1.6808595	0.6283681341
A6X935	Itih4	Inter alpha-trypsin inhibitor, heavy chain 4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4)	balbc	iso	0.888379	1.1823520023
A6X935	Itih4	Inter alpha-trypsin inhibitor, heavy chain 4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4)	c57	ctrl	1.663281	0.9208339644
A6X935	Itih4	Inter alpha-trypsin inhibitor, heavy chain 4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4)	c57	iso	1.1413085	1.0323180714
A6X935	Itih4	Inter alpha-trypsin inhibitor, heavy chain 4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4)	cej	ctrl	2.26875	2.9195922588
A6X935	Itih4	Inter alpha-trypsin inhibitor, heavy chain 4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4)	dba	ctrl	1.440625	0.37065
